run_id,timestamp,theme,file,model,input_tokens,output_tokens,cache_write_tokens,cache_read_tokens,cost_usd
"907e90f7-e3e1-5f21-8679-36ada47ce6f1@2026-09-18T03:09:14.505Z","2026-09-18T03:16:53.130Z","Dockerとは何か","reports/what-is-docker.html","claude-sonnet-5","44","10580","82502","835319","0.4792"
"907e90f7-e3e1-5f21-8679-36ada47ce6f1@2026-09-18T03:09:14.505Z","2026-09-18T03:16:53.130Z","Dockerとは何か","reports/what-is-docker.html","claude-opus-5","12","24770","49704","82575","0.9712"
"907e90f7-e3e1-5f21-8679-36ada47ce6f1@2026-09-18T03:33:13.011Z","2026-09-18T03:43:18.793Z","ネットワーク: OSI参照モデル、TCP/IP、IPアドレスとサブネット、ルーティング、DNS","reports/networking-basics.html","claude-sonnet-5","31","14921","42611","731691","0.4021"
"907e90f7-e3e1-5f21-8679-36ada47ce6f1@2026-09-18T03:33:13.011Z","2026-09-18T03:43:18.793Z","ネットワーク: OSI参照モデル、TCP/IP、IPアドレスとサブネット、ルーティング、DNS","reports/networking-basics.html","claude-opus-5","24","34510","101917","433641","1.7167"
"907e90f7-e3e1-5f21-8679-36ada47ce6f1@2026-09-18T13:16:02.389Z","2026-09-18T13:28:48.516Z","セキュリティ: 暗号方式、認証、攻撃手法、マルウェア、ファイアウォールなど","reports/security-basics.html","claude-sonnet-5","45","18313","44839","1459429","0.5872"
"907e90f7-e3e1-5f21-8679-36ada47ce6f1@2026-09-18T13:16:02.389Z","2026-09-18T13:28:48.516Z","セキュリティ: 暗号方式、認証、攻撃手法、マルウェア、ファイアウォールなど","reports/security-basics.html","claude-opus-5","16","43928","78401","187134","1.6819"
"4339cc69-f7ba-5401-b3f7-7df10f6e5d80@2026-09-18T14:28:21.588Z","2026-09-18T14:42:04.751Z","MCP（Model Context Protocol）とは何か","reports/what-is-mcp.html","claude-sonnet-5","30","12915","98212","452501","0.4652"
"4339cc69-f7ba-5401-b3f7-7df10f6e5d80@2026-09-18T14:28:21.588Z","2026-09-18T14:42:04.751Z","MCP（Model Context Protocol）とは何か","reports/what-is-mcp.html","claude-opus-5","18","5381","120738","391599","1.0850"
"2ce7b0f4-d9a8-5fe3-9a16-b4b5146468ad@2026-09-18T15:13:21.563Z","2026-09-18T15:29:01.028Z","AIエージェントとワークフローの違い","reports/ai-agents-vs-workflows.html","claude-sonnet-5","34","11625","45550","648213","0.3598"
"2ce7b0f4-d9a8-5fe3-9a16-b4b5146468ad@2026-09-18T15:13:21.563Z","2026-09-18T15:29:01.028Z","AIエージェントとワークフローの違い","reports/ai-agents-vs-workflows.html","claude-opus-5","18","3600","207950","295341","1.5374"
"928b3550-ab31-5416-a13c-5f31c3281c9a@2026-09-18T17:10:59.757Z","2026-09-18T17:25:57.065Z","コンピュータ構成要素: CPU、キャッシュ、メモリ、RAID、入出力装置","reports/cpu-cache-memory-raid-io.html","claude-sonnet-5","42","10065","125703","879502","0.5909"
"928b3550-ab31-5416-a13c-5f31c3281c9a@2026-09-18T17:10:59.757Z","2026-09-18T17:25:57.065Z","コンピュータ構成要素: CPU、キャッシュ、メモリ、RAID、入出力装置","reports/cpu-cache-memory-raid-io.html","claude-opus-5","44","36525","109903","1797564","2.4990"
"928b3550-ab31-5416-a13c-5f31c3281c9a@2026-09-18T17:27:32.664Z","2026-09-18T17:42:50.347Z","アルゴリズムとデータ構造: 配列、リスト、スタック、キュー、木構造、探索・整列アルゴリズムと計算量","reports/algorithms-and-data-structures.html","claude-sonnet-5","35","4480","162250","851008","0.6207"
"928b3550-ab31-5416-a13c-5f31c3281c9a@2026-09-18T17:27:32.664Z","2026-09-18T17:42:50.347Z","アルゴリズムとデータ構造: 配列、リスト、スタック、キュー、木構造、探索・整列アルゴリズムと計算量","reports/algorithms-and-data-structures.html","claude-opus-5","52","33868","99975","2020151","2.4819"
